nome,link,tipo,categoria
Credo in Te.pdf,https://drive.google.com/file/d/0B125_qILHPJeQi04ZWJHYVVXa1Y1TDdGRG05a3Ezdkk4T0Zj/view?usp=drivesdk&resourcekey=0-ufl6F5qTes37D5OPCixA3Q,testo,altro
ANCHE TU COSI'.pdf,https://drive.google.com/file/d/0B125_qILHPJeY2NycWFDU0NmOWhIbGFnOTBYdnAyZW1pQlVF/view?usp=drivesdk&resourcekey=0-d33nmoAFuygpp8j9AsPX3w,testo,altro
ACCOGLI I NOSTRI DONI.pdf,https://drive.google.com/file/d/0B125_qILHPJeVGpHblUtT3lxajUxYXJJWHhPbl84YXE2Q0tv/view?usp=drivesdk&resourcekey=0-DhPwzFLCChvffeBMDvD-_g,testo,altro
E se lo invocherete.pdf,https://drive.google.com/file/d/0B125_qILHPJebnNYTjFzVWF1bGU2YTBWOUtBRThqdXdNS0Fv/view?usp=drivesdk&resourcekey=0-CS9RFTvj5-eieA9hRFxLuw,testo,altro
AVE MARIA.pdf,https://drive.google.com/file/d/0B125_qILHPJednRhY0NtY2FmRFpTTWRIdHRxaUVmZ1diMzNz/view?usp=drivesdk&resourcekey=0-yOpOaY5l2sB2JiQQZ80iKA,testo,altro
E GIOIA SARA'.pdf,https://drive.google.com/file/d/0B125_qILHPJebHBlNkQ4eTIxNDljV091Um15M0JXSUVveHRj/view?usp=drivesdk&resourcekey=0-Dh8bsBAJaC1XPbQ1KJOHFQ,testo,altro
Canto d'umiltà.pdf,https://drive.google.com/file/d/0B125_qILHPJeNVFENlk4TVZCTWU2OE9haTJJNFpSU0wtcGM0/view?usp=drivesdk&resourcekey=0-ngCxS-0cro9N0uiSXsH4-Q,testo,altro
ABBRACCIAMI.pdf,https://drive.google.com/file/d/0B125_qILHPJeSDgzN0lPZ1lFOEpCWG5qRHBvS2FPWDRpWnZB/view?usp=drivesdk&resourcekey=0-RkmMY6r81JVt44I7JOHF-A,testo,altro
Ti seguirò.pdf,https://drive.google.com/file/d/0B125_qILHPJeaFRoWDdaS2VmaXdQVW1pdVpuNXlwTGpPd0U4/view?usp=drivesdk&resourcekey=0-lzWW8xrtlro5v50APJ8eOQ,testo,altro
INSIEME E' PIU' BELLO.pdf,https://drive.google.com/file/d/0B125_qILHPJeNzh4UnNFUUJybUhid1hpZk1GZW5VM042enJF/view?usp=drivesdk&resourcekey=0-GyvEoH7pbylt9-FkgUr6Tg,testo,altro
Padre tu sarai per me.pdf,https://drive.google.com/file/d/0B125_qILHPJecFpRQ1hCYUtCazJQclZCdWwwdGh3NmJDSGg0/view?usp=drivesdk&resourcekey=0-h1iVEKC896CxcgccdA3_Ig,testo,altro
AI CONFINI DELLA TERRA.pdf,https://drive.google.com/file/d/0B125_qILHPJeM1VsV3lZc0FZVm9QTFhZbDNmTTExTEZ5MzRr/view?usp=drivesdk&resourcekey=0-OzlUiHUnS3HCfGkcgYD03A,testo,altro
L'arco dei forti.pdf,https://drive.google.com/file/d/0B125_qILHPJeWFZyUkNXZmF4WTRTQ3dhSmw5LVNYeWNVREtB/view?usp=drivesdk&resourcekey=0-xb3fpDCIiRNRZm7odnT5OA,testo,altro
CRISTO È RISORTO VERAMENTE.pdf,https://drive.google.com/file/d/0B125_qILHPJeNjlhbU1WUWFhdGtHa25FeTBvRHFxR0tHRzU4/view?usp=drivesdk&resourcekey=0-QKG9LCZSQbtxsQjozEa8BQ,testo,altro
PRENDI LA VITA MIA.pdf,https://drive.google.com/file/d/0B125_qILHPJeTUJ6UllwSlpwYVRaREdZaXVUR3o0Yl9XdS1J/view?usp=drivesdk&resourcekey=0--rpWRte5WpoRnaSULPYFJg,testo,altro
Re di gloria.pdf,https://drive.google.com/file/d/0B125_qILHPJeMXJFNTV2SE5SXy1uc0hWS25oMVJFZzE0eGt3/view?usp=drivesdk&resourcekey=0-TWM3RS0A-lv09XnkvKc9-g,testo,altro
L'ANIMA DEL MONDO.pdf,https://drive.google.com/file/d/0B125_qILHPJeNXEzWnk0ZDk0VVFCek4tY0xZMEd3bURBRlJR/view?usp=drivesdk&resourcekey=0-89DJdgI-51s5bQkKY1sNhQ,testo,altro
Frutto della nostra terra.pdf,https://drive.google.com/file/d/0B125_qILHPJeNkt0TFRQa29Tc2FfTUxnWGJMUENhdUltc3hZ/view?usp=drivesdk&resourcekey=0-Jun-wUzYnjtc8nwGV4qZqw,testo,altro
Alleluia Lodate il Signore.pdf,https://drive.google.com/file/d/0B125_qILHPJeVXNGeWVpTGt4dlg2Z2xSYldoYjMyTjBXcFE4/view?usp=drivesdk&resourcekey=0-8-qyJ0WLbAfPoKoMA1c7ig,testo,altro
